Project Install Year,Contractor,County,City,Project Count by City,Project Cost,"Incentive, Dollars",Total Nameplate KW,Expected KWh Annual Production,Solicitation,Location 1
2010,Other,Allegany,Other,1,34440.00,8050.00,4.60,5399.66,PON 2112,"Other, NY
"
2010,Other,Cayuga,Other,1,39000.00,8820.00,5.04,5916.15,PON 2112,"Other, NY
"
2010,Other,Columbia,Other,1,20198.00,4427.50,2.53,2969.82,PON 2112,"Other, NY
"
2010,Other,Dutchess,Other,4,163678.00,45080.00,25.76,30238.11,PON 2112,"Other, NY
"
2010,Other,Erie,Other,2,70272.00,21070.00,12.24,14367.80,PON 2112,"Other, NY
"
2010,Other,Essex,Other,2,154240.40,42665.00,24.38,28618.22,PON 2112,"Other, NY
"
2010,Other,Franklin,Other,1,54325.00,12250.00,8.05,9449.41,PON 2112,"Other, NY
"
2010,Other,Genesee,Other,1,39888.00,10867.50,6.21,7289.55,PON 2112,"Other, NY
"
2010,Other,Herkimer,Other,1,34199.86,11970.00,6.84,8029.07,PON 2112,"Other, NY
"
2010,Other,Monroe,Other,2,58386.00,15487.50,8.85,10388.49,PON 2112,"Other, NY
"
2010,Other,Onondaga,Other,3,90860.00,26232.50,14.99,17595.86,PON 2112,"Other, NY
"
2010,Other,Orange,Other,1,32862.90,9450.00,5.40,6338.74,PON 2112,"Other, NY
"
2010,Other,Queens,Other,1,44000.00,4309.20,4.32,5070.99,PON 2112,"Other, NY
"
2010,Other,Rensselaer,Other,1,17772.00,4777.50,2.73,3204.58,PON 2112,"Other, NY
"
2010,Other,Schenectady,Other,2,56643.00,14411.00,9.05,10617.38,PON 2112,"Other, NY
"
2010,Other,Ulster,Other,5,192803.00,49306.50,28.58,33545.99,PON 2112,"Other, NY
"
2010,Other,Washington,Other,1,241343.63,87500.00,50.49,59267.18,PON 2112,"Other, NY
"
2010,Other,Wyoming,Other,1,21933.23,5512.50,3.15,3697.60,PON 2112,"Other, NY
"
2011,Other,Kings,Other,7,941467.00,261114.00,154.95,181878.30,PON 2112,"Other, NY
"
2011,Other,Albany,Other,15,2295980.56,526697.00,321.49,377368.43,PON 2112,"Other, NY
"
2011,Other,Allegany,Other,2,66720.23,21026.25,12.02,14103.68,PON 2112,"Other, NY
"
2011,Other,Bronx,Other,2,282675.00,93485.00,53.42,62706.54,PON 2112,"Other, NY
"
2011,Other,Broome,Other,9,310039.00,90011.00,52.05,61092.50,PON 2112,"Other, NY
"
2011,Other,Cattaraugus,Other,2,69648.00,21962.50,12.60,14790.38,PON 2112,"Other, NY
"
2011,Other,Cayuga,Other,11,404539.09,122275.12,72.09,84626.84,PON 2112,"Other, NY
"
2011,Other,Chautauqua,Other,12,338877.00,108162.50,62.20,73012.87,PON 2112,"Other, NY
"
2011,Other,Chemung,Other,6,179954.00,53461.75,31.11,36518.16,PON 2112,"Other, NY
"
2011,Other,Chenango,Other,2,77956.84,20090.00,11.62,13640.02,PON 2112,"Other, NY
"
2011,Other,Clinton,Other,6,240217.00,67522.00,39.85,46777.53,PON 2112,"Other, NY
"
2011,Other,Columbia,Other,14,667022.28,157798.00,97.44,114373.11,PON 2112,"Other, NY
"
2011,Other,Cortland,Other,2,101139.90,25795.00,14.79,17361.09,PON 2112,"Other, NY
"
2011,Other,Delaware,Other,3,153252.16,36750.00,22.63,26568.70,PON 2112,"Other, NY
"
2011,Other,Dutchess,Other,21,1355496.95,373587.35,221.32,259788.42,PON 2112,"Other, NY
"
2011,Other,Erie,Other,31,1270295.08,384277.75,220.08,258323.46,PON 2112,"Other, NY
"
2011,Other,Essex,Other,5,182637.92,51590.00,29.48,34604.80,PON 2112,"Other, NY
"
2011,Other,Franklin,Other,1,26930.00,8225.00,4.70,5517.05,PON 2112,"Other, NY
"
2011,Other,Fulton,Other,2,54080.00,16511.00,9.44,11075.18,PON 2112,"Other, NY
"
2011,Other,Genesee,Other,4,142385.00,46812.50,26.75,31400.23,PON 2112,"Other, NY
"
2011,Other,Greene,Other,5,176174.13,48256.00,27.63,32427.33,PON 2112,"Other, NY
"
2011,Other,Herkimer,Other,2,161185.00,54197.50,30.97,36353.82,PON 2112,"Other, NY
"
2011,Other,Jefferson,Other,5,223820.56,52052.00,32.99,38717.94,PON 2112,"Other, NY
"
2011,Other,Lewis,Other,1,47090.00,10290.00,5.88,6902.18,PON 2112,"Other, NY
"
2011,Other,Livingston,Other,6,204994.68,51502.50,30.62,35942.98,PON 2112,"Other, NY
"
2011,Other,Madison,Other,4,204337.00,56087.50,32.05,37621.58,PON 2112,"Other, NY
"
2011,Other,Monroe,Other,22,1127369.26,249042.75,205.15,240806.23,PON 2112,"Other, NY
"
2011,Other,Montgomery,Other,4,121357.00,34255.75,19.58,22977.92,PON 2112,"Other, NY
"
2011,Other,New York,Other,5,988769.32,223195.00,127.57,149746.76,PON 2112,"Other, NY
"
2011,Other,Niagara,Other,10,278909.75,84403.25,48.34,56731.69,PON 2112,"Other, NY
"
2011,Other,Oneida,Other,10,571919.42,179322.50,107.50,126187.81,PON 2112,"Other, NY
"
2011,Other,Onondaga,Other,31,2749636.27,723528.69,446.06,523573.72,PON 2112,"Other, NY
"
2011,Other,Ontario,Other,8,701328.83,224826.00,133.30,156475.22,PON 2112,"Other, NY
"
2011,Other,Orange,Other,14,620163.17,170257.50,104.52,122678.03,PON 2112,"Other, NY
"
2011,Other,Orleans,Other,5,223027.00,57680.00,37.25,43725.54,PON 2112,"Other, NY
"
2011,Other,Oswego,Other,8,324133.84,89169.50,51.74,60733.31,PON 2112,"Other, NY
"
2011,Other,Otsego,Other,6,267348.30,76457.50,43.81,51425.92,PON 2112,"Other, NY
"
2011,Other,Putnam,Other,4,154237.48,38185.00,25.32,29721.63,PON 2112,"Other, NY
"
2011,Other,Queens,Other,19,1591432.96,415780.50,246.82,289723.67,PON 2112,"Other, NY
"
2011,Other,Rensselaer,Other,21,1894833.36,442330.50,260.20,305433.18,PON 2112,"Other, NY
"
2011,Other,Richmond,Other,5,520622.86,148244.25,86.27,101250.74,PON 2112,"Other, NY
"
2011,Other,Rockland,Other,5,188301.45,54871.50,31.36,36805.76,PON 2112,"Other, NY
"
2011,Other,Saratoga,Other,12,1532708.72,341360.50,199.24,233877.04,PON 2112,"Other, NY
"
2011,Other,Schenectady,Other,9,809415.24,191205.00,114.33,134199.26,PON 2112,"Other, NY
"
2011,Other,Schoharie,Other,2,99229.90,24500.00,15.33,17994.97,PON 2112,"Other, NY
"
2011,Other,Schuyler,Other,3,168535.74,44275.00,25.30,29698.15,PON 2112,"Other, NY
"
2011,Other,Seneca,Other,1,115919.00,33600.00,19.20,22537.73,PON 2112,"Other, NY
"
2011,Other,St. Lawrence,Other,11,376946.22,105992.50,64.54,75760.83,PON 2112,"Other, NY
"
2011,Other,Steuben,Other,4,133271.86,35385.00,20.22,23735.05,PON 2112,"Other, NY
"
2011,Other,Sullivan,Other,5,259938.00,66920.00,43.93,51566.80,PON 2112,"Other, NY
"
2011,Other,Tioga,Other,12,362908.40,92963.50,54.76,64281.84,PON 2112,"Other, NY
"
2011,Other,Tompkins,Other,20,752098.73,186459.50,113.48,133207.36,PON 2112,"Other, NY
"
2011,Other,Ulster,Other,32,2148404.88,583684.50,344.63,404528.71,PON 2112,"Other, NY
"
2011,Other,Warren,Other,4,846054.00,187075.00,115.86,136001.11,PON 2112,"Other, NY
"
2011,Other,Washington,Other,5,255416.69,64557.50,36.89,43302.96,PON 2112,"Other, NY
"
2011,Other,Wayne,Other,3,355688.40,101080.00,59.40,69726.10,PON 2112,"Other, NY
"
2011,Other,Westchester,Other,38,2212523.72,619173.00,383.98,450699.41,PON 2112,"Other, NY
"
2011,Other,Wyoming,Other,4,126547.22,35931.00,20.63,24218.67,PON 2112,"Other, NY
"
2011,Other,Yates,Other,1,115433.00,44275.00,25.30,29698.15,PON 2112,"Other, NY
"
2012,Monolith Solar Associates LLC(CS),Rensselaer,Castleton,4,1005549.00,240865.00,140.12,164478.47,PON 2112,"Castleton, NY
"
2012,Other,Albany,Other,40,2727190.73,740815.00,478.40,561565.05,PON 2112,"Other, NY
"
2012,Other,Allegany,Other,9,340944.00,109038.00,67.00,78649.63,PON 2112,"Other, NY
"
2012,Other,Bronx,Other,12,2153649.87,458658.25,324.88,381347.75,PON 2112,"Other, NY
"
2012,Other,Broome,Other,25,1524136.28,399056.25,350.35,411253.68,PON 2112,"Other, NY
"
2012,Other,Cattaraugus,Other,4,173183.00,53910.00,32.29,37903.30,PON 2112,"Other, NY
"
2012,Other,Cayuga,Other,17,1031529.85,314246.00,195.02,228919.95,PON 2112,"Other, NY
"
2012,Other,Chautauqua,Other,12,795226.10,222099.00,132.44,155463.38,PON 2112,"Other, NY
"
2012,Other,Chemung,Other,3,94728.00,25026.00,16.88,19819.12,PON 2112,"Other, NY
"
2012,Other,Chenango,Other,12,401911.02,105563.00,70.09,82266.23,PON 2112,"Other, NY
"
2012,Other,Clinton,Other,13,702074.00,218160.00,146.16,171568.47,PON 2112,"Other, NY
"
2012,Other,Columbia,Other,32,3211307.54,673329.45,483.27,567254.68,PON 2112,"Other, NY
"
2012,Other,Cortland,Other,11,390479.15,108840.00,74.80,87795.01,PON 2112,"Other, NY
"
2012,Other,Delaware,Other,6,398464.00,130171.50,85.64,100515.90,PON 2112,"Other, NY
"
2012,Other,Dutchess,Other,107,6333850.61,1619869.55,1111.25,1304413.18,PON 2112,"Other, NY
"
2012,Other,Erie,Other,51,2941845.30,801375.50,574.29,674090.58,PON 2112,"Other, NY
"
2012,Other,Essex,Other,11,312707.50,99255.00,67.18,78858.57,PON 2112,"Other, NY
"
2012,Other,Franklin,Other,2,120313.00,22750.00,15.30,17959.75,PON 2112,"Other, NY
"
2012,Other,Fulton,Other,10,378519.82,98883.00,71.33,83727.68,PON 2112,"Other, NY
"
2012,Other,Genesee,Other,9,408065.80,122416.50,76.61,89922.02,PON 2112,"Other, NY
"
2012,Other,Greene,Other,21,931093.01,247703.25,155.92,183014.56,PON 2112,"Other, NY
"
2012,Other,Hamilton,Other,1,11780.00,3600.00,2.40,2817.22,PON 2112,"Other, NY
"
2012,Other,Herkimer,Other,7,432833.79,133147.00,79.37,93167.67,PON 2112,"Other, NY
"
2012,Other,Jefferson,Other,11,503961.50,164158.00,108.93,127866.40,PON 2112,"Other, NY
"
2012,Other,Kings,Other,16,1407983.06,422565.50,256.23,300753.07,PON 2112,"Other, NY
"
2012,Other,Lewis,Other,2,87700.00,22680.00,14.46,16973.73,PON 2112,"Other, NY
"
2012,Other,Livingston,Other,12,423630.16,106253.00,82.71,97083.61,PON 2112,"Other, NY
"
2012,Other,Madison,Other,22,789972.84,245168.00,168.39,197648.84,PON 2112,"Other, NY
"
2012,Other,Monroe,Other,37,2393725.20,744323.25,475.61,558285.33,PON 2112,"Other, NY
"
2012,Other,Montgomery,Other,7,762027.50,193048.00,119.35,140102.50,PON 2112,"Other, NY
"
2012,Other,New York,Other,8,710343.42,132287.50,72.50,85103.40,PON 2112,"Other, NY
"
2012,Other,Niagara,Other,20,1073936.23,332501.90,219.86,258072.25,PON 2112,"Other, NY
"
2012,Other,Oneida,Other,24,1752870.43,599559.50,374.94,440096.10,PON 2112,"Other, NY
"
2012,Other,Onondaga,Other,50,2953628.15,954282.50,620.67,728539.11,PON 2112,"Other, NY
"
2012,Other,Ontario,Other,16,728118.12,214100.50,132.05,155003.23,PON 2112,"Other, NY
"
2012,Other,Orange,Other,71,3662733.04,1041791.90,730.21,857127.39,PON 2112,"Other, NY
"
2012,Other,Orleans,Other,8,270282.10,76469.78,51.82,60816.66,PON 2112,"Other, NY
"
2012,Other,Oswego,Other,19,1195095.86,386544.75,246.02,288761.12,PON 2112,"Other, NY
"
2012,Other,Otsego,Other,9,322229.22,101808.50,70.83,83147.79,PON 2112,"Other, NY
"
2012,Other,Putnam,Other,17,993447.15,200471.50,161.23,189254.69,PON 2112,"Other, NY
"
2012,Other,Queens,Other,81,8278400.46,2085803.15,1317.27,1546245.45,PON 2112,"Other, NY
"
2012,Other,Rensselaer,Other,52,3839021.25,1059253.50,703.79,826127.42,PON 2112,"Other, NY
"
2012,Other,Richmond,Other,12,1089963.23,309778.00,213.66,250796.79,PON 2112,"Other, NY
"
2012,Other,Rockland,Other,40,1610025.88,444090.63,297.09,348724.40,PON 2112,"Other, NY
"
2012,Other,Saratoga,Other,41,3492417.83,975944.50,636.28,746872.15,PON 2112,"Other, NY
"
2012,Other,Schenectady,Other,25,1549315.97,445323.30,280.07,328752.68,PON 2112,"Other, NY
"
2012,Other,Schoharie,Other,12,788047.00,197565.50,124.98,146706.53,PON 2112,"Other, NY
"
2012,Other,Schuyler,Other,3,106900.69,29716.00,16.98,19931.80,PON 2112,"Other, NY
"
2012,Other,Seneca,Other,7,615457.35,203767.00,118.18,138712.67,PON 2112,"Other, NY
"
2012,Other,St. Lawrence,Other,13,546157.66,182593.00,121.45,142557.02,PON 2112,"Other, NY
"
2012,Other,Steuben,Other,3,285202.26,105762.00,61.58,72285.07,PON 2112,"Other, NY
"
2012,Other,Sullivan,Other,29,1644117.91,443391.00,312.09,366339.04,PON 2112,"Other, NY
"
2012,Other,Tioga,Other,5,181694.87,48802.50,37.14,43596.42,PON 2112,"Other, NY
"
2012,Other,Tompkins,Other,20,1434473.18,444539.00,274.47,322169.80,PON 2112,"Other, NY
"
2012,Other,Ulster,Other,74,3473376.92,852608.60,606.33,711688.61,PON 2112,"Other, NY
"
2012,Other,Warren,Other,9,557324.14,160532.50,113.56,133294.23,PON 2112,"Other, NY
"
2012,Other,Washington,Other,19,970220.18,259885.50,169.27,198693.57,PON 2112,"Other, NY
"
2012,Other,Wayne,Other,19,1021324.77,297480.50,188.98,221822.92,PON 2112,"Other, NY
"
2012,Other,Westchester,Other,128,6775258.79,1695815.37,1267.80,1488114.51,PON 2112,"Other, NY
"
2012,Other,Wyoming,Other,5,374228.24,104202.00,61.96,72729.96,PON 2112,"Other, NY
"
2012,Other,Yates,Other,9,551790.68,158215.00,115.50,135578.51,PON 2112,"Other, NY
"
2012,SolarCity(CS),Rensselaer,Castleton,4,138840.75,39986.60,27.27,32010.61,PON 2112,"Castleton, NY
"
2013,Monolith Solar Associates LLC(CS),Rensselaer,Castleton,3,338590.00,98580.00,67.99,79809.38,PON 2112,"Castleton, NY
"
2013,Other,Albany,Other,64,5429248.56,1555047.00,1279.09,1501410.65,PON 2112,"Other, NY
"
2013,Other,Allegany,Other,1,9375.00,3670.00,2.75,3228.06,PON 2112,"Other, NY
"
2013,Other,Bronx,Other,10,1055128.00,305177.00,224.30,263291.14,PON 2112,"Other, NY
"
2013,Other,Broome,Other,12,645179.80,168622.00,124.01,145545.60,PON 2112,"Other, NY
"
2013,Other,Cattaraugus,Other,8,560583.91,169253.50,114.97,134947.00,PON 2112,"Other, NY
"
2013,Other,Cayuga,Other,19,662945.55,211988.00,158.13,185593.50,PON 2112,"Other, NY
"
2013,Other,Chautauqua,Other,10,329053.00,90911.50,63.13,74084.57,PON 2112,"Other, NY
"
2013,Other,Chemung,Other,12,351812.19,85911.00,59.58,69936.21,PON 2112,"Other, NY
"
2013,Other,Chenango,Other,7,254701.97,68383.00,53.61,62923.68,PON 2112,"Other, NY
"
2013,Other,Clinton,Other,14,441449.47,129174.00,117.50,137896.86,PON 2112,"Other, NY
"
2013,Other,Columbia,Other,38,2197986.68,618886.47,474.50,556950.70,PON 2112,"Other, NY
"
2013,Other,Cortland,Other,16,552504.46,158031.00,120.59,141535.76,PON 2112,"Other, NY
"
2013,Other,Delaware,Other,3,94931.90,25160.00,19.60,23007.26,PON 2112,"Other, NY
"
2013,Other,Dutchess,Other,77,3340929.43,828164.00,671.13,787735.80,PON 2112,"Other, NY
"
2013,Other,Erie,Other,62,3346801.55,950524.50,646.58,758915.76,PON 2112,"Other, NY
"
2013,Other,Essex,Other,6,131740.00,37600.00,29.23,34311.34,PON 2112,"Other, NY
"
2013,Other,Franklin,Other,3,126232.00,26450.00,26.75,31400.22,PON 2112,"Other, NY
"
2013,Other,Fulton,Other,12,729137.80,176597.00,166.26,195156.77,PON 2112,"Other, NY
"
2013,Other,Genesee,Other,16,1100018.00,340261.50,302.34,354888.24,PON 2112,"Other, NY
"
2013,Other,Greene,Other,29,1228055.45,272821.00,228.58,268296.40,PON 2112,"Other, NY
"
2013,Other,Hamilton,Other,5,187619.50,48178.00,37.69,44230.29,PON 2112,"Other, NY
"
2013,Other,Herkimer,Other,7,255941.00,73875.00,57.47,67454.72,PON 2112,"Other, NY
"
2013,Other,Jefferson,Other,13,806774.35,220246.00,211.55,248325.86,PON 2112,"Other, NY
"
2013,Other,Kings,Other,15,1089771.85,291114.00,208.79,245084.88,PON 2112,"Other, NY
"
2013,Other,Lewis,Other,2,54375.00,19600.00,14.50,17020.68,PON 2112,"Other, NY
"
2013,Other,Livingston,Other,14,572803.19,158368.00,125.74,147585.75,PON 2112,"Other, NY
"
2013,Other,Madison,Other,25,1038017.00,343373.00,246.70,289565.19,PON 2112,"Other, NY
"
2013,Other,Monroe,Other,39,1468774.43,421844.50,319.08,374527.74,PON 2112,"Other, NY
"
2013,Other,Montgomery,Other,16,599335.17,144410.00,123.60,145080.76,PON 2112,"Other, NY
"
2013,Other,New York,Other,8,824139.74,171593.75,101.93,119649.51,PON 2112,"Other, NY
"
2013,Other,Niagara,Other,24,1168437.59,376560.08,256.18,300699.07,PON 2112,"Other, NY
"
2013,Other,Oneida,Other,16,509408.60,157038.00,113.28,132960.85,PON 2112,"Other, NY
"
2013,Other,Onondaga,Other,45,3089560.44,781332.00,618.78,726320.53,PON 2112,"Other, NY
"
2013,Other,Ontario,Other,22,1126092.44,321453.00,246.29,289099.19,PON 2112,"Other, NY
"
2013,Other,Orange,Other,102,5197203.97,1520756.00,1149.48,1349237.54,PON 2112,"Other, NY
"
2013,Other,Orleans,Other,7,242895.75,71024.00,55.93,65647.00,PON 2112,"Other, NY
"
2013,Other,Oswego,Other,23,2002710.73,547959.00,380.80,446975.96,PON 2112,"Other, NY
"
2013,Other,Otsego,Other,9,332073.85,95062.00,67.66,79422.01,PON 2112,"Other, NY
"
2013,Other,Putnam,Other,21,701271.27,163791.80,145.13,170355.87,PON 2112,"Other, NY
"
2013,Other,Queens,Other,53,3298616.04,827033.55,620.87,728760.96,PON 2112,"Other, NY
"
2013,Other,Rensselaer,Other,66,5597536.88,1551812.00,1253.01,1470802.76,PON 2112,"Other, NY
"
2013,Other,Richmond,Other,8,1303247.50,358198.00,274.55,322277.77,PON 2112,"Other, NY
"
2013,Other,Rockland,Other,66,2187743.80,537588.00,462.35,542655.70,PON 2112,"Other, NY
"
2013,Other,Saratoga,Other,60,3662881.98,1023761.00,745.90,875473.38,PON 2112,"Other, NY
"
2013,Other,Schenectady,Other,30,2205416.70,611634.00,472.41,554511.44,PON 2112,"Other, NY
"
2013,Other,Schoharie,Other,11,605872.20,155392.00,116.96,137286.46,PON 2112,"Other, NY
"
2013,Other,Schuyler,Other,9,293792.80,82434.00,58.08,68176.62,PON 2112,"Other, NY
"
2013,Other,Seneca,Other,7,216458.00,72372.00,52.40,61503.35,PON 2112,"Other, NY
"
2013,Other,St. Lawrence,Other,16,631448.87,191412.00,144.19,169241.92,PON 2112,"Other, NY
"
2013,Other,Steuben,Other,12,352306.85,112675.00,82.61,96939.23,PON 2112,"Other, NY
"
2013,Other,Sullivan,Other,11,473344.20,153558.00,120.36,141275.17,PON 2112,"Other, NY
"
2013,Other,Tioga,Other,7,220837.39,56354.00,40.21,47180.16,PON 2112,"Other, NY
"
2013,Other,Tompkins,Other,20,825063.98,208224.00,162.26,190440.27,PON 2112,"Other, NY
"
2013,Other,Ulster,Other,81,3112894.65,844602.00,671.42,788025.79,PON 2112,"Other, NY
"
2013,Other,Warren,Other,14,905372.48,256372.45,184.09,216086.33,PON 2112,"Other, NY
"
2013,Other,Washington,Other,15,1720562.34,423490.00,395.18,463878.07,PON 2112,"Other, NY
"
2013,Other,Wayne,Other,15,918355.26,287428.00,205.21,240877.84,PON 2112,"Other, NY
"
2013,Other,Westchester,Other,154,6353034.82,1626467.89,1351.67,1586484.76,PON 2112,"Other, NY
"
2013,Other,Wyoming,Other,1,20442.80,5145.00,3.43,4026.27,PON 2112,"Other, NY
"
2013,Other,Yates,Other,7,253206.30,89234.00,63.98,75096.42,PON 2112,"Other, NY
"
2014,Hudson Solar(CS),Rensselaer,Castleton,3,214647.00,48688.00,47.62,55892.39,PON 2112,"Castleton, NY
"
2014,Monolith Solar Associates LLC(CS),Rensselaer,Castleton,5,148099.75,38258.00,33.16,38912.80,PON 2112,"Castleton, NY
"
2014,Other,Albany,Other,104,7868374.91,1759961.00,1893.30,2222332.65,PON 2112,"Other, NY
"
2014,Other,Allegany,Other,4,102002.70,27595.00,24.73,29029.06,PON 2112,"Other, NY
"
2014,Other,Bronx,Other,13,1820614.85,514031.00,385.10,452046.98,PON 2112,"Other, NY
"
2014,Other,Broome,Other,13,449275.26,104557.00,107.20,125835.66,PON 2112,"Other, NY
"
2014,Other,Cattaraugus,Other,10,565266.19,156479.50,137.51,161402.99,PON 2112,"Other, NY
"
2014,Other,Cayuga,Other,23,1194037.81,357944.00,329.74,387044.39,PON 2112,"Other, NY
"
2014,Other,Chautauqua,Other,14,464042.64,116696.00,118.17,138706.80,PON 2112,"Other, NY
"
2014,Other,Chemung,Other,9,345592.67,77417.00,79.61,93445.89,PON 2112,"Other, NY
"
2014,Other,Chenango,Other,9,364790.57,87503.00,91.08,106913.35,PON 2112,"Other, NY
"
2014,Other,Clinton,Other,25,978477.00,270529.00,268.60,315287.55,PON 2112,"Other, NY
"
2014,Other,Columbia,Other,58,3361794.32,791082.00,713.61,837622.88,PON 2112,"Other, NY
"
2014,Other,Cortland,Other,15,561580.39,132074.00,131.32,154153.37,PON 2112,"Other, NY
"
2014,Other,Delaware,Other,15,1817237.80,408869.00,427.27,501523.15,PON 2112,"Other, NY
"
2014,Other,Dutchess,Other,101,4412002.54,1008380.00,990.35,1162453.75,PON 2112,"Other, NY
"
2014,Other,Erie,Other,68,3762585.15,1033525.00,889.98,1044653.08,PON 2112,"Other, NY
"
2014,Other,Essex,Other,13,530369.09,147673.00,143.30,168211.27,PON 2112,"Other, NY
"
2014,Other,Franklin,Other,7,220782.00,62390.00,59.87,70277.79,PON 2112,"Other, NY
"
2014,Other,Fulton,Other,13,554616.46,128056.00,133.42,156584.40,PON 2112,"Other, NY
"
2014,Other,Genesee,Other,14,543944.54,141408.00,140.72,165182.76,PON 2112,"Other, NY
"
2014,Other,Greene,Other,40,2284122.02,440682.00,459.91,539837.28,PON 2112,"Other, NY
"
2014,Other,Herkimer,Other,13,560953.73,137209.00,133.03,156154.76,PON 2112,"Other, NY
"
2014,Other,Jefferson,Other,14,1641812.46,502816.00,446.67,524319.11,PON 2112,"Other, NY
"
2014,Other,Kings,Other,14,1799012.92,511886.00,392.97,461283.90,PON 2112,"Other, NY
"
2014,Other,Lewis,Other,5,413312.00,103286.00,117.53,137961.42,PON 2112,"Other, NY
"
2014,Other,Livingston,Other,7,222014.62,57766.00,55.64,65314.80,PON 2112,"Other, NY
"
2014,Other,Madison,Other,22,1028840.64,265811.00,247.02,289961.96,PON 2112,"Other, NY
"
2014,Other,Monroe,Other,32,1225264.01,353230.00,347.33,407686.35,PON 2112,"Other, NY
"
2014,Other,Montgomery,Other,37,1862837.23,403899.00,400.59,470205.07,PON 2112,"Other, NY
"
2014,Other,Nassau,Other,1,21100.00,4500.00,4.50,5282.28,PON 2112,"Other, NY
"
2014,Other,New York,Other,4,417531.00,110819.00,87.81,103064.33,PON 2112,"Other, NY
"
2014,Other,Niagara,Other,27,1103759.00,318175.00,295.98,347415.58,PON 2112,"Other, NY
"
2014,Other,Oneida,Other,49,1787667.45,446214.00,449.31,527400.44,PON 2112,"Other, NY
"
2014,Other,Onondaga,Other,98,7340003.27,1808111.25,2022.56,2374079.69,PON 2112,"Other, NY
"
2014,Other,Ontario,Other,26,2014754.33,579252.00,561.84,659490.31,PON 2112,"Other, NY
"
2014,Other,Orange,Other,149,8332596.50,2154942.00,2011.54,2361119.32,PON 2112,"Other, NY
"
2014,Other,Orleans,Other,17,1184349.25,308820.00,370.64,435054.45,PON 2112,"Other, NY
"
2014,Other,Oswego,Other,40,2121832.08,502338.00,461.01,541127.33,PON 2112,"Other, NY
"
2014,Other,Otsego,Other,11,470208.64,102726.00,102.19,119957.05,PON 2112,"Other, NY
"
2014,Other,Putnam,Other,34,1582850.50,341120.00,351.82,412967.49,PON 2112,"Other, NY
"
2014,Other,Queens,Other,71,4149189.30,953070.00,876.65,1028996.39,PON 2112,"Other, NY
"
2014,Other,Rensselaer,Other,76,5557149.70,1251396.00,1212.60,1423323.29,PON 2112,"Other, NY
"
2014,Other,Richmond,Other,8,274070.20,68200.00,57.63,67642.53,PON 2112,"Other, NY
"
2014,Other,Rockland,Other,99,3436803.61,724961.00,791.68,929244.62,PON 2112,"Other, NY
"
2014,Other,Saratoga,Other,93,8970661.89,1963967.00,2002.97,2351121.70,PON 2112,"Other, NY
"
2014,Other,Schenectady,Other,37,1769584.78,353024.00,395.42,464136.32,PON 2112,"Other, NY
"
2014,Other,Schoharie,Other,35,1480635.00,311777.00,311.40,365518.50,PON 2112,"Other, NY
"
2014,Other,Schuyler,Other,7,265704.67,49983.00,54.19,63604.53,PON 2112,"Other, NY
"
2014,Other,Seneca,Other,10,752987.97,228931.00,187.82,220464.76,PON 2112,"Other, NY
"
2014,Other,St. Lawrence,Other,23,1094028.05,283856.00,285.36,334943.49,PON 2112,"Other, NY
"
2014,Other,Steuben,Other,3,130568.86,40500.00,34.98,41060.92,PON 2112,"Other, NY
"
2014,Other,Sullivan,Other,40,1463653.09,349341.90,350.78,411730.23,PON 2112,"Other, NY
"
2014,Other,Tioga,Other,7,211718.43,53020.00,51.89,60910.55,PON 2112,"Other, NY
"
2014,Other,Tompkins,Other,35,1203515.84,301369.00,277.67,325916.70,PON 2112,"Other, NY
"
2014,Other,Ulster,Other,133,4674707.37,1066467.00,1094.65,1284862.98,PON 2112,"Other, NY
"
2014,Other,Warren,Other,35,4693906.50,1083759.00,1169.82,1373163.91,PON 2112,"Other, NY
"
2014,Other,Washington,Other,36,2021907.12,458256.00,473.91,556265.19,PON 2112,"Other, NY
"
2014,Other,Wayne,Other,17,735622.71,217939.00,187.07,219584.39,PON 2112,"Other, NY
"
2014,Other,Westchester,Other,185,8102471.62,1877707.00,1872.49,2197837.00,PON 2112,"Other, NY
"
2014,Other,Wyoming,Other,8,174160.88,43389.00,42.59,49987.97,PON 2112,"Other, NY
"
2014,Other,Yates,Other,10,419207.20,120735.00,107.76,126493.00,PON 2112,"Other, NY
"
2015,Other,,Other,1,37331.90,8296.00,10.37,12172.72,PON 2112,"Other, NY
"
2015,Other,Albany,Other,92,3379530.34,642982.00,760.43,892556.23,PON 2112,"Other, NY
"
2015,Other,Allegany,Other,4,182637.06,41095.00,43.90,51525.70,PON 2112,"Other, NY
"
2015,Other,Bronx,Other,11,893497.92,210626.00,205.91,241700.70,PON 2112,"Other, NY
"
2015,Other,Broome,Other,18,1029964.51,248182.00,375.29,440523.38,PON 2112,"Other, NY
"
2015,Other,Cattaraugus,Other,12,391244.50,95043.00,107.25,125882.60,PON 2112,"Other, NY
"
2015,Other,Cayuga,Other,28,1015597.09,241215.00,294.77,345986.99,PON 2112,"Other, NY
"
2015,Other,Chautauqua,Other,23,850019.00,211963.00,235.05,275881.73,PON 2112,"Other, NY
"
2015,Other,Chemung,Other,11,338756.20,67042.00,79.81,93672.43,PON 2112,"Other, NY
"
2015,Other,Chenango,Other,8,213399.50,45257.00,52.44,61556.18,PON 2112,"Other, NY
"
2015,Other,Clinton,Other,14,529436.47,121727.00,134.86,158304.05,PON 2112,"Other, NY
"
